격분한,"['anger', '0.964']" 
지류,"['anticipation', '0.297']"
캡,"['anticipation', '0.297']"
열전대,"['anticipation', '0.297']"
당황,"['anticipation', '0.297']"
강사,"['anticipation', '0.297']"
타액,"['anticipation', '0.297']"
피로,"['anticipation', '0.297']"
타박상,"['anticipation', '0.289']"
노숙자,"['anticipation', '0.289']"
챙,"['anticipation', '0.289']"
회로망,"['anticipation', '0.289']"
걸쇠,"['anticipation', '0.289']"
비준수,"['anticipation', '0.289']"
백내장,"['anticipation', '0.289']"
비뚤어진,"['anticipation', '0.281']"
천문학 자,"['anticipation', '0.281']"
이웃 사람,"['anticipation', '0.281']"
신성한 것,"['anticipation', '0.273']"
악마,"['anticipation', '0.273']"
크림,"['anticipation', '0.273']"
피켓,"['anticipation', '0.273']"
숨어있는,"['anticipation', '0.273']"
미숙,"['anticipation', '0.273']"
문장,"['anticipation', '0.273']"
이웃,"['anticipation', '0.266']"
수신,"['anticipation', '0.266']"
달래다,"['anticipation', '0.266']"
습관적인,"['anticipation', '0.266']"
안녕,"['anticipation', '0.258']"
전완,"['anticipation', '0.250']"
시골뜨기,"['anticipation', '0.250']"
오르간,"['anticipation', '0.250']"
인용문,"['anticipation', '0.242']"
평범한,"['anticipation', '0.242']"
절대권,"['anticipation', '0.234']"
화이트,"['anticipation', '0.234']"
밟아 돌리는 바퀴,"['anticipation', '0.234']"
레일,"['anticipation', '0.234']"
해시계,"['anticipation', '0.227']"
나무,"['anticipation', '0.227']"
마비,"['anticipation', '0.211']"
벌레,"['anticipation', '0.203']"
조직,"['anticipation', '0.203']"
시멘트,"['anticipation', '0.203']"
보온재,"['anticipation', '0.180']"
중립국,"['anticipation', '0.148']"
식인 풍습,"['disgust', '0.953']"
절단,"['disgust', '0.352']"
방해,"['disgust', '0.914']"
근친 상간,"['disgust', '0.914']"
임질,"['disgust', '0.906']"
강간,"['disgust', '0.906']"
식인종,"['disgust', '0.898']"
썩음,"['disgust', '0.891']"
시체,"['disgust', '0.795']"
대학살,"['disgust', '0.781']"
배설물,"['disgust', '0.844']"
학살,"['disgust', '0.875']"
바프,"['disgust', '0.875']"
도살장,"['disgust', '0.867']"
썩은 냄새,"['disgust', '0.859']"
하수 설비,"['disgust', '0.859']"
근친상간의,"['disgust', '0.859']"
오물,"['disgust', '0.859']"
뱃머리,"['disgust', '0.859']"
침입,"['disgust', '0.852']"
역병,"['disgust', '0.781']"
피에 굶주린,"['disgust', '0.852']"
썩어가는,"['disgust', '0.844']"
변덕,"['disgust', '0.844']"
대변,"['disgust', '0.844']"
살인,"['disgust', '0.812']"
유아 살해,"['disgust', '0.836']"
항문,"['disgust', '0.836']"
예속 된,"['disgust', '0.836']"
핏덩어리,"['disgust', '0.828']"
이상의,"['disgust', '0.828']"
고문,"['disgust', '0.828']"
도살,"['disgust', '0.828']"
배설,"['disgust', '0.828']"
오염시키다,"['disgust', '0.711']"
살인자,"['disgust', '0.820']"
피투성이의,"['disgust', '0.820']"
지겨운,"['disgust', '0.820']"
신성 모독,"['disgust', '0.820']"
그로테스크 한,"['disgust', '0.820']"
반란군,"['disgust', '0.820']"
설사,"['disgust', '0.820']"
비료,"['disgust', '0.820']"
테러리스트,"['disgust', '0.820']"
똥,"['disgust', '0.820']"
나쁜 길로 이끌다,"['disgust', '0.820']"
노예 제도,"['disgust', '0.812']"
찌끼,"['disgust', '0.695']"
하수,"['disgust', '0.812']"
토하다,"['disgust', '0.812']"
출혈,"['disgust', '0.609']"
반발하는,"['disgust', '0.805']"
비뚤어진,"['disgust', '0.461']"
불결한,"['disgust', '0.797']"
하수 오물,"['disgust', '0.797']"
타락,"['disgust', '0.680']"
병든,"['disgust', '0.797']"
분해하다,"['disgust', '0.531']"
해충,"['disgust', '0.508']"
구토,"['disgust', '0.789']"
기생물,"['disgust', '0.789']"
무서운,"['disgust', '0.562']"
소름 끼치는,"['disgust', '0.641']"
NO TRANSLATION,"['disgust', '0.195']"
절단 된,"['disgust', '0.789']"
살인적인,"['disgust', '0.789']"
부패한,"['disgust', '0.789']"
수포진,"['disgust', '0.789']"
더러운 것,"['disgust', '0.781']"
공허,"['disgust', '0.781']"
기괴,"['disgust', '0.781']"
말라리아,"['disgust', '0.781']"
쓰레기,"['disgust', '0.523']"
유독 한,"['disgust', '0.773']"
기분 나쁜,"['disgust', '0.773']"
교활한,"['disgust', '0.328']"
나병,"['disgust', '0.773']"
거만,"['disgust', '0.773']"
고름,"['disgust', '0.773']"
헤르페스 바이러스,"['disgust', '0.773']"
매춘부,"['disgust', '0.562']"
잔인한,"['disgust', '0.766']"
모순,"['disgust', '0.766']"
격변,"['disgust', '0.766']"
외국인 혐오증,"['disgust', '0.766']"
역류,"['disgust', '0.766']"
탄저병,"['disgust', '0.766']"
사형,"['disgust', '0.766']"
해부,"['disgust', '0.759']"
구강 궤양,"['disgust', '0.758']"
잔학,"['disgust', '0.758']"
곡해,"['disgust', '0.758']"
악,"['disgust', '0.492']"
빈민굴,"['disgust', '0.758']"
전염성의,"['disgust', '0.758']"
점액의,"['disgust', '0.758']"
담,"['disgust', '0.758']"
거머리,"['disgust', '0.750']"
분해,"['disgust', '0.750']"
불길한,"['disgust', '0.234']"
부패하는,"['disgust', '0.750']"
악마,"['disgust', '0.516']"
악취가 나는,"['disgust', '0.742']"
부패물,"['disgust', '0.742']"
엉망이 된,"['disgust', '0.742']"
담즙,"['disgust', '0.305']"
더러워진,"['disgust', '0.742']"
점액,"['disgust', '0.742']"
혐오,"['disgust', '0.438']"
질색,"['disgust', '0.234']"
병 들게하는,"['disgust', '0.742']"
악마 같은,"['disgust', '0.625']"
반칙,"['disgust', '0.734']"
뚱뚱한,"['disgust', '0.734']"
싫증 나게 하다,"['disgust', '0.734']"
퇴화,"['disgust', '0.734']"
큰 시련,"['disgust', '0.734']"
비열한,"['disgust', '0.438']"
암,"['disgust', '0.734']"
포악,"['disgust', '0.734']"
테러,"['disgust', '0.734']"
더러운,"['disgust', '0.422']"
이질,"['disgust', '0.727']"
간통,"['disgust', '0.727']"
오염,"['disgust', '0.727']"
박테리아,"['disgust', '0.656']"
병적 상태,"['disgust', '0.727']"
소름 끼치게 하는,"['disgust', '0.727']"
반발,"['disgust', '0.727']"
관장,"['disgust', '0.727']"
전염병,"['disgust', '0.594']"
모양이 변형 된,"['disgust', '0.719']"
음란 한,"['disgust', '0.719']"
찌꺼기,"['disgust', '0.719']"
검시,"['disgust', '0.719']"
창자,"['disgust', '0.719']"
심한,"['disgust', '0.219']"
저속한,"['disgust', '0.719']"
야만인 같은,"['disgust', '0.719']"
싫음,"['disgust', '0.391']"
나쁜,"['disgust', '0.352']"
내장,"['disgust', '0.719']"
악화,"['disgust', '0.469']"
날카로운,"['disgust', '0.719']"
유혈,"['disgust', '0.714']"
격렬한,"['disgust', '0.711']"
폭군,"['disgust', '0.711']"
중독 된,"['disgust', '0.711']"
비참한,"['disgust', '0.711']"
구역질,"['disgust', '0.711']"
고행,"['disgust', '0.711']"
개그,"['disgust', '0.711']"
속악,"['disgust', '0.703']"
역겨운,"['disgust', '0.609']"
더듬다,"['disgust', '0.703']"
암캐,"['disgust', '0.648']"
중독,"['disgust', '0.703']"
타락한,"['disgust', '0.703']"
유해한,"['disgust', '0.492']"
포르노,"['disgust', '0.703']"
추잡한,"['disgust', '0.703']"
불쾌한,"['disgust', '0.352']"
전제국,"['disgust', '0.703']"
욕지기 나다,"['disgust', '0.703']"
분비,"['disgust', '0.703']"
변비,"['disgust', '0.703']"
증오심이 많은,"['disgust', '0.703']"
때,"['disgust', '0.703']"
흥역,"['disgust', '0.696']"
전염성이있는,"['disgust', '0.695']"
지옥 같은,"['disgust', '0.695']"
낭비,"['disgust', '0.422']"
자살적인,"['disgust', '0.695']"
남용,"['disgust', '0.695']"
미움,"['disgust', '0.695']"
놈,"['disgust', '0.695']"
장의,"['disgust', '0.695']"
사마귀,"['disgust', '0.695']"
비만,"['disgust', '0.695']"
더럽히는,"['disgust', '0.688']"
질병,"['disgust', '0.688']"
맹렬한,"['disgust', '0.352']"
습지,"['disgust', '0.688']"
반역,"['disgust', '0.688']"
심장 웜,"['disgust', '0.688']"
흑수병,"['disgust', '0.688']"
콜레라,"['disgust', '0.680']"
변형 된,"['disgust', '0.680']"
싫어하다,"['disgust', '0.609']"
짐승 같은,"['disgust', '0.555']"
병,"['disgust', '0.680']"
적 그리스도,"['disgust', '0.680']"
혐오스러운,"['disgust', '0.680']"
영혼이없는,"['disgust', '0.680']"
이상한,"['disgust', '0.680']"
때로 더럽혀진,"['disgust', '0.680']"
증오,"['disgust', '0.680']"
세균,"['disgust', '0.680']"
가증 한,"['disgust', '0.680']"
지옥,"['disgust', '0.680']"
낡은,"['disgust', '0.672']"
절대권,"['disgust', '0.672']"
비인간적 인,"['disgust', '0.672']"
기름 바른,"['disgust', '0.672']"
끔찍한,"['disgust', '0.656']"
싫는,"['disgust', '0.672']"
운,"['disgust', '0.670']"
이교도,"['disgust', '0.664']"
메스꺼움,"['disgust', '0.664']"
가증스러운,"['disgust', '0.664']"
기형,"['disgust', '0.664']"
치명적인,"['disgust', '0.536']"
돼지,"['disgust', '0.438']"
차별,"['disgust', '0.664']"
마조히즘,"['disgust', '0.664']"
편견을 가진,"['disgust', '0.656']"
죽음,"['disgust', '0.656']"
독,"['disgust', '0.453']"
폐물,"['disgust', '0.656']"
유산,"['disgust', '0.656']"
부패,"['disgust', '0.656']"
희생 된,"['disgust', '0.656']"
압박,"['disgust', '0.656']"
끈적 거리는,"['disgust', '0.656']"
화장실,"['disgust', '0.562']"
공포,"['disgust', '0.656']"
극악한,"['disgust', '0.617']"
복수심 있는,"['disgust', '0.648']"
옥외 변소,"['disgust', '0.648']"
아주 싫어함,"['disgust', '0.648']"
진흙,"['disgust', '0.648']"
추한,"['disgust', '0.648']"
쓰레기 같은,"['disgust', '0.648']"
부도덕 한,"['disgust', '0.648']"
부정 행위,"['disgust', '0.641']"
내뿜다,"['disgust', '0.641']"
여드름,"['disgust', '0.641']"
외설,"['disgust', '0.625']"
보기 흉한,"['disgust', '0.641']"
악한 같은,"['disgust', '0.641']"
낭성의,"['disgust', '0.641']"
경멸적인,"['disgust', '0.625']"
완하제,"['disgust', '0.641']"
범죄,"['disgust', '0.641']"
억압적인,"['disgust', '0.633']"
죄가 많은,"['disgust', '0.633']"
편견없는,"['disgust', '0.633']"
최후의 심판의 날,"['disgust', '0.633']"
매춘,"['disgust', '0.633']"
궤양,"['disgust', '0.633']"
분비하다,"['disgust', '0.633']"
범인,"['disgust', '0.633']"
쥐,"['disgust', '0.633']"
기이 한,"['disgust', '0.633']"
곰팡이,"['disgust', '0.633']"
비겁한,"['disgust', '0.625']"
불명예스러운,"['disgust', '0.523']"
박해,"['disgust', '0.625']"
퇴화하는,"['disgust', '0.625']"
진균류,"['disgust', '0.625']"
대식,"['disgust', '0.625']"
변,"['disgust', '0.625']"
괴로움,"['disgust', '0.625']"
오만한,"['disgust', '0.625']"
부푼,"['disgust', '0.625']"
깜짝 놀라,"['disgust', '0.625']"
배신,"['disgust', '0.617']"
기요틴,"['disgust', '0.617']"
감염시키다,"['disgust', '0.617']"
약탈,"['disgust', '0.461']"
파상풍,"['disgust', '0.617']"
지방,"['disgust', '0.617']"
이,"['disgust', '0.617']"
악의 있는,"['disgust', '0.547']"
일부 다처제,"['disgust', '0.617']"
피 각질의,"['disgust', '0.617']"
책략,"['disgust', '0.617']"
흰개미,"['disgust', '0.617']"
처녀,"['disgust', '0.617']"
사망,"['disgust', '0.617']"
병난,"['disgust', '0.617']"
기저귀,"['disgust', '0.484']"
목을 졸라 매다,"['disgust', '0.617']"
군침,"['disgust', '0.414']"
중상,"['disgust', '0.484']"
매음굴,"['disgust', '0.609']"
빈민가,"['disgust', '0.609']"
맹렬히,"['disgust', '0.609']"
적의,"['disgust', '0.594']"
사보타주,"['disgust', '0.609']"
추하게 하다,"['disgust', '0.609']"
씻지 않은,"['disgust', '0.602']"
전광,"['disgust', '0.602']"
투옥,"['disgust', '0.602']"
신앙심 없는 사람,"['disgust', '0.602']"
박탈,"['disgust', '0.602']"
배신자,"['disgust', '0.602']"
추함,"['disgust', '0.602']"
곰팡내 나는,"['disgust', '0.602']"
불법의,"['disgust', '0.406']"
늪,"['disgust', '0.570']"
밀렵,"['disgust', '0.602']"
추한 노파,"['disgust', '0.602']"
푸주한,"['disgust', '0.594']"
미치광이,"['disgust', '0.594']"
독액,"['disgust', '0.594']"
격퇴하는,"['disgust', '0.594']"
자객,"['disgust', '0.594']"
불행,"['disgust', '0.594']"
강타,"['disgust', '0.594']"
대단원,"['disgust', '0.594']"
거트,"['disgust', '0.594']"
술에 취한,"['disgust', '0.594']"
물집,"['disgust', '0.594']"
속이는,"['disgust', '0.594']"
욕지기,"['disgust', '0.594']"
어쩐지 기분 나쁜,"['disgust', '0.594']"
죄인,"['disgust', '0.508']"
괴롭히다,"['disgust', '0.336']"
춘화,"['disgust', '0.586']"
악화 된,"['disgust', '0.586']"
질리는,"['disgust', '0.586']"
불충실 한,"['disgust', '0.578']"
발진,"['disgust', '0.578']"
굴욕적인,"['disgust', '0.578']"
파멸적인,"['disgust', '0.578']"
비꼬는,"['disgust', '0.578']"
공격,"['disgust', '0.578']"
공모자,"['disgust', '0.578']"
절도죄,"['disgust', '0.578']"
방탕,"['disgust', '0.578']"
압착 롤러,"['disgust', '0.578']"
벼룩,"['disgust', '0.578']"
위선자,"['disgust', '0.383']"
지체,"['disgust', '0.578']"
고약한,"['disgust', '0.578']"
소택지,"['disgust', '0.578']"
제명,"['disgust', '0.578']"
믿을 수 없는,"['disgust', '0.570']"
침,"['disgust', '0.570']"
지독한,"['disgust', '0.570']"
잡종,"['disgust', '0.570']"
어질러 놓은,"['disgust', '0.570']"
팔다,"['disgust', '0.516']"
악명 높은,"['disgust', '0.289']"
억압하다,"['disgust', '0.367']"
경멸하다,"['disgust', '0.570']"
뱀,"['disgust', '0.562']"
해로운,"['disgust', '0.305']"
광기,"['disgust', '0.562']"
외설스러운,"['disgust', '0.562']"
악당,"['disgust', '0.258']"
적,"['disgust', '0.562']"
훔침,"['disgust', '0.500']"
대주,"['disgust', '0.562']"
굴욕,"['disgust', '0.562']"
무자비한,"['disgust', '0.562']"
묽고 싱거운,"['disgust', '0.562']"
폭군의,"['disgust', '0.562']"
죄를 짓는,"['disgust', '0.562']"
강도,"['disgust', '0.492']"
참을 수 없는,"['disgust', '0.555']"
비소,"['disgust', '0.555']"
피의,"['disgust', '0.555']"
추악한,"['disgust', '0.555']"
조소,"['disgust', '0.555']"
위축,"['disgust', '0.555']"
공모,"['disgust', '0.555']"
싫증,"['disgust', '0.336']"
분리하다,"['disgust', '0.555']"
차별하는,"['disgust', '0.555']"
겁쟁이,"['disgust', '0.367']"
사악,"['disgust', '0.555']"
험악한,"['disgust', '0.555']"
매력없는,"['disgust', '0.555']"
살해자,"['disgust', '0.555']"
연약한,"['disgust', '0.555']"
수두,"['disgust', '0.555']"
딱한,"['disgust', '0.547']"
다래끼,"['disgust', '0.547']"
오우거,"['disgust', '0.547']"
강제,"['disgust', '0.547']"
도둑,"['disgust', '0.547']"
질식시키는,"['disgust', '0.547']"
저주,"['disgust', '0.430']"
연옥,"['disgust', '0.547']"
몹시,"['disgust', '0.547']"
공격의,"['disgust', '0.547']"
소포 성,"['disgust', '0.547']"
비난,"['disgust', '0.375']"
뒹굴다,"['disgust', '0.539']"
방수제,"['disgust', '0.539']"
포기,"['disgust', '0.539']"
부정,"['disgust', '0.445']"
거짓말 쟁이,"['disgust', '0.539']"
지방이 많은,"['disgust', '0.539']"
덩어리,"['disgust', '0.539']"
비웃음,"['disgust', '0.500']"
술취한,"['disgust', '0.539']"
불명예,"['disgust', '0.516']"
부끄러움,"['disgust', '0.539']"
질투심 많은,"['disgust', '0.539']"
투옥 된,"['disgust', '0.539']"
탐욕스러운,"['disgust', '0.539']"
나태,"['disgust', '0.539']"
탄,"['disgust', '0.531']"
수차,"['disgust', '0.531']"
겸손,"['disgust', '0.531']"
뇌수종,"['disgust', '0.531']"
교수형,"['disgust', '0.531']"
파괴적인,"['disgust', '0.531']"
밀수선,"['disgust', '0.531']"
편협한,"['disgust', '0.531']"
희한한,"['disgust', '0.531']"
관입하는,"['disgust', '0.531']"
망가진,"['disgust', '0.531']"
시든,"['disgust', '0.531']"
말다툼,"['disgust', '0.531']"
흠,"['disgust', '0.531']"
신경증 환자,"['disgust', '0.531']"
불경스러운,"['disgust', '0.531']"
거짓말하는,"['disgust', '0.531']"
아픈,"['disgust', '0.531']"
탐욕,"['disgust', '0.523']"
정부,"['disgust', '0.523']"
비하하는,"['disgust', '0.523']"
감손,"['disgust', '0.523']"
고발,"['disgust', '0.523']"
견딜 수 없기,"['disgust', '0.523']"
감금,"['disgust', '0.523']"
황폐 한,"['disgust', '0.523']"
기름 통,"['disgust', '0.516']"
탄탄한,"['disgust', '0.516']"
움츠러 들게하다,"['disgust', '0.516']"
저하시키다,"['disgust', '0.516']"
홈통,"['disgust', '0.516']"
털다,"['disgust', '0.516']"
엄한,"['disgust', '0.516']"
속이다,"['disgust', '0.461']"
근절,"['disgust', '0.516']"
악취,"['disgust', '0.516']"
죄수,"['disgust', '0.516']"
무자비한 사람,"['disgust', '0.516']"
유적,"['disgust', '0.516']"
잔돈,"['disgust', '0.516']"
가짜,"['disgust', '0.406']"
풍토병,"['disgust', '0.508']"
폭격당한,"['disgust', '0.508']"
고통,"['disgust', '0.484']"
불치의,"['disgust', '0.508']"
가치 없는,"['disgust', '0.375']"
배제,"['disgust', '0.508']"
맛 없는,"['disgust', '0.508']"
정신 분열증,"['disgust', '0.508']"
얕보다,"['disgust', '0.344']"
냄새가 나는,"['disgust', '0.508']"
사기,"['disgust', '0.508']"
얼룩,"['disgust', '0.484']"
백치,"['disgust', '0.492']"
섬망 상태,"['disgust', '0.508']"
재앙,"['disgust', '0.508']"
조잡한,"['disgust', '0.508']"
원한,"['disgust', '0.508']"
끔찍하게,"['disgust', '0.508']"
과다,"['disgust', '0.508']"
논쟁,"['disgust', '0.500']"
사신 숭배,"['disgust', '0.500']"
금기,"['disgust', '0.500']"
외침,"['disgust', '0.500']"
덜어 없애다,"['disgust', '0.500']"
고블린,"['disgust', '0.500']"
걸쇠,"['disgust', '0.500']"
수회,"['disgust', '0.500']"
질투,"['disgust', '0.500']"
불결,"['disgust', '0.500']"
신랄,"['disgust', '0.500']"
위반,"['disgust', '0.500']"
문제 삼다,"['disgust', '0.500']"
마름병,"['disgust', '0.500']"
협박,"['disgust', '0.500']"
욕심,"['disgust', '0.500']"
장황한 연설,"['disgust', '0.500']"
질주하다,"['disgust', '0.492']"
비양심적 인,"['disgust', '0.492']"
경기 후퇴,"['disgust', '0.492']"
협곡,"['disgust', '0.492']"
난파선,"['disgust', '0.492']"
종기,"['disgust', '0.492']"
보기 싫은,"['disgust', '0.492']"
낭비적인,"['disgust', '0.484']"
경멸,"['disgust', '0.484']"
폭동,"['disgust', '0.484']"
신비한,"['disgust', '0.484']"
도보 여행가,"['disgust', '0.484']"
견딜 수 없는,"['disgust', '0.484']"
범죄자,"['disgust', '0.477']"
노예 같은,"['disgust', '0.484']"
흑인 노예,"['disgust', '0.484']"
성난,"['disgust', '0.469']"
혼란,"['disgust', '0.484']"
미친,"['disgust', '0.484']"
진압,"['disgust', '0.484']"
소유 한,"['disgust', '0.484']"
악의,"['disgust', '0.484']"
무례한,"['disgust', '0.266']"
음식물,"['disgust', '0.484']"
친척 편중,"['disgust', '0.484']"
용서가없는,"['disgust', '0.484']"
서투른,"['disgust', '0.477']"
억압,"['disgust', '0.477']"
조롱,"['disgust', '0.469']"
바람,"['disgust', '0.477']"
위법,"['disgust', '0.477']"
무심코,"['disgust', '0.477']"
적대적인,"['disgust', '0.477']"
부도덕,"['disgust', '0.477']"
음침한,"['disgust', '0.477']"
싫은,"['disgust', '0.469']"
기침,"['disgust', '0.469']"
거만한,"['disgust', '0.469']"
창살,"['disgust', '0.469']"
선명한,"['disgust', '0.469']"
추방,"['disgust', '0.469']"
재생 모직물,"['disgust', '0.469']"
반시,"['disgust', '0.469']"
가난,"['disgust', '0.469']"
빠지다,"['disgust', '0.469']"
격분,"['disgust', '0.328']"
발한,"['disgust', '0.469']"
찌르기,"['disgust', '0.461']"
무모한,"['disgust', '0.461']"
사기성의,"['disgust', '0.461']"
거미,"['disgust', '0.461']"
돌팔이 의사,"['disgust', '0.461']"
파멸,"['disgust', '0.461']"
흐린,"['disgust', '0.461']"
가짜의,"['disgust', '0.461']"
모욕하는,"['disgust', '0.461']"
흉터,"['disgust', '0.461']"
정당하지 못한,"['disgust', '0.461']"
바보,"['disgust', '0.281']"
비탄하다,"['disgust', '0.461']"
진딧물,"['disgust', '0.453']"
분개,"['disgust', '0.453']"
이기적인,"['disgust', '0.453']"
똥개,"['disgust', '0.453']"
부정한,"['disgust', '0.453']"
오명,"['disgust', '0.453']"
피하다,"['disgust', '0.219']"
반감,"['disgust', '0.391']"
소외시키다,"['disgust', '0.453']"
제거,"['disgust', '0.453']"
상상도 할 수없는,"['disgust', '0.453']"
지나간,"['disgust', '0.445']"
고집 불통,"['disgust', '0.445']"
모기,"['disgust', '0.445']"
카리에스,"['disgust', '0.445']"
파산,"['disgust', '0.445']"
평범한,"['disgust', '0.445']"
말뚝,"['disgust', '0.445']"
냄새,"['disgust', '0.445']"
텅빈,"['disgust', '0.445']"
절망,"['disgust', '0.445']"
아편,"['disgust', '0.445']"
번쩍 거리는,"['disgust', '0.445']"
거짓말,"['disgust', '0.445']"
경건한,"['disgust', '0.445']"
어려운,"['disgust', '0.438']"
비명,"['disgust', '0.438']"
외계인,"['disgust', '0.438']"
비정상적인,"['disgust', '0.438']"
부끄러워,"['disgust', '0.438']"
동거인,"['disgust', '0.438']"
가망 없음,"['disgust', '0.438']"
노숙자,"['disgust', '0.438']"
생물,"['disgust', '0.430']"
불법,"['disgust', '0.430']"
튼튼한,"['disgust', '0.430']"
뻔뻔한,"['disgust', '0.430']"
부스러기,"['disgust', '0.430']"
도전,"['disgust', '0.430']"
물리다,"['disgust', '0.430']"
허위,"['disgust', '0.430']"
환류,"['disgust', '0.430']"
쉽게 믿지 않는,"['disgust', '0.430']"
불리한,"['disgust', '0.414']"
속임수,"['disgust', '0.430']"
굳어진,"['disgust', '0.430']"
분리파,"['disgust', '0.430']"
탐탁지 않은,"['disgust', '0.430']"
비난하다,"['disgust', '0.391']"
마녀,"['disgust', '0.430']"
부랑자,"['disgust', '0.422']"
소,"['disgust', '0.422']"
어수선한,"['disgust', '0.422']"
불신,"['disgust', '0.336']"
흐림,"['disgust', '0.422']"
사나운,"['disgust', '0.422']"
찌르다,"['disgust', '0.422']"
유아 같은,"['disgust', '0.422']"
암모니아,"['disgust', '0.422']"
긁다,"['disgust', '0.422']"
바보 같은,"['disgust', '0.422']"
비대,"['disgust', '0.422']"
니코틴,"['disgust', '0.422']"
맛없는,"['disgust', '0.422']"
화려한,"['disgust', '0.422']"
사회 주의자,"['disgust', '0.422']"
연체의,"['disgust', '0.422']"
무리,"['disgust', '0.422']"
논쟁의,"['disgust', '0.422']"
부주의,"['disgust', '0.422']"
털이 많은,"['disgust', '0.422']"
윤활유,"['disgust', '0.422']"
모욕,"['disgust', '0.393']"
무너짐,"['disgust', '0.422']"
나쁜 상태,"['disgust', '0.422']"
부정직,"['disgust', '0.414']"
무성의,"['disgust', '0.414']"
변위,"['disgust', '0.414']"
좇지 않다,"['disgust', '0.414']"
사워,"['disgust', '0.414']"
사회주의,"['disgust', '0.414']"
어두운,"['disgust', '0.414']"
방치 된,"['disgust', '0.414']"
흡혈귀,"['disgust', '0.414']"
소송중인,"['disgust', '0.414']"
사생아의,"['disgust', '0.414']"
불만을 품은,"['disgust', '0.406']"
무식한,"['disgust', '0.406']"
추방 된,"['disgust', '0.406']"
불친절한,"['disgust', '0.406']"
격퇴하다,"['disgust', '0.406']"
불쾌,"['disgust', '0.406']"
위조품,"['disgust', '0.406']"
좀도둑,"['disgust', '0.406']"
싫어함,"['disgust', '0.406']"
불연속,"['disgust', '0.406']"
상습적 범행,"['disgust', '0.406']"
일한 보람 없는,"['disgust', '0.406']"
악행,"['disgust', '0.406']"
위조하다,"['disgust', '0.406']"
기소,"['disgust', '0.406']"
실패,"['disgust', '0.289']"
아비,"['disgust', '0.398']"
핥기,"['disgust', '0.398']"
파괴하다,"['disgust', '0.398']"
엄밀,"['disgust', '0.398']"
~을,"['disgust', '0.398']"
소수,"['disgust', '0.398']"
부 자연스러운,"['disgust', '0.398']"
회피,"['disgust', '0.398']"
무의미한,"['disgust', '0.383']"
악화되는,"['disgust', '0.398']"
경멸감,"['disgust', '0.398']"
비애,"['disgust', '0.398']"
비참하게,"['disgust', '0.398']"
암페타민,"['disgust', '0.398']"
적은,"['disgust', '0.398']"
눌러 터뜨리는,"['disgust', '0.398']"
손해,"['disgust', '0.391']"
경화 된,"['disgust', '0.391']"
동물,"['disgust', '0.391']"
통,"['disgust', '0.391']"
반사회적인,"['disgust', '0.391']"
처벌,"['disgust', '0.391']"
처벌 된,"['disgust', '0.391']"
내쫓다,"['disgust', '0.391']"
어색한,"['disgust', '0.391']"
투석기,"['disgust', '0.391']"
희생,"['disgust', '0.383']"
표절,"['disgust', '0.383']"
이혼,"['disgust', '0.383']"
불일치,"['disgust', '0.383']"
도망자,"['disgust', '0.383']"
지나친,"['disgust', '0.383']"
초라한,"['disgust', '0.383']"
오크,"['disgust', '0.383']"
가산기,"['disgust', '0.383']"
아나콘다,"['disgust', '0.383']"
거친,"['disgust', '0.258']"
비이성적 인,"['disgust', '0.383']"
어긋나게 하다,"['disgust', '0.383']"
읽고 쓸 줄 모르는,"['disgust', '0.383']"
비탄,"['disgust', '0.383']"
축출,"['disgust', '0.383']"
풍부한,"['disgust', '0.188']"
죄,"['disgust', '0.383']"
비행,"['disgust', '0.375']"
소원,"['disgust', '0.375']"
우울한,"['disgust', '0.375']"
화나게 하는,"['disgust', '0.375']"
상태,"['disgust', '0.375']"
탈구 된,"['disgust', '0.375']"
비웃다,"['disgust', '0.375']"
짜증나게 하는 것,"['disgust', '0.375']"
결함 있는,"['disgust', '0.375']"
충격,"['disgust', '0.375']"
장난,"['disgust', '0.367']"
취소,"['disgust', '0.367']"
박탈 된,"['disgust', '0.367']"
제외,"['disgust', '0.367']"
떠들썩한,"['disgust', '0.367']"
환멸,"['disgust', '0.367']"
끽소리 못 하게 함,"['disgust', '0.367']"
건강에 해로운,"['disgust', '0.367']"
두꺼비,"['disgust', '0.367']"
위핌,"['disgust', '0.367']"
함정,"['disgust', '0.367']"
공연히,"['disgust', '0.367']"
무력한,"['disgust', '0.367']"
치사한 사람,"['disgust', '0.367']"
상처가 나는,"['disgust', '0.367']"
몸서리,"['disgust', '0.367']"
괴벽,"['disgust', '0.359']"
반항,"['disgust', '0.359']"
양립 할 수없는,"['disgust', '0.359']"
부적당,"['disgust', '0.359']"
처분하다,"['disgust', '0.359']"
불순종,"['disgust', '0.359']"
조금도,"['disgust', '0.359']"
곤충,"['disgust', '0.359']"
버려진,"['disgust', '0.359']"
소송하다,"['disgust', '0.352']"
어리석은,"['disgust', '0.336']"
퇴비,"['disgust', '0.352']"
오비,"['disgust', '0.352']"
쓸데없는,"['disgust', '0.352']"
검열,"['disgust', '0.352']"
불확실한,"['disgust', '0.352']"
변호사,"['disgust', '0.352']"
꽁무니 빼다,"['disgust', '0.352']"
육체,"['disgust', '0.352']"
밀어 넣는,"['disgust', '0.352']"
부적당 한,"['disgust', '0.352']"
버릇 없음,"['disgust', '0.352']"
좌절하다,"['disgust', '0.352']"
해임,"['disgust', '0.352']"
안된다고 하다,"['disgust', '0.344']"
